strain,date,retail_and_recreation_percent_change_from_baseline,binned_mobility
USA/CA-CSMC111/2020,2020-04-01,-41.0,75-100%
USA/CA-CSMC106/2020,2020-04-01,-41.0,75-100%
USA/CA-CSMC132/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC88/2020,2020-03-25,-43.0,50-75%
USA/CA-CZB-1588/2020,2020-03-23,-32.0,75-100%
USA/CA-CZB-1587/2020,2020-03-23,-32.0,75-100%
USA/CA-CDPH005/2020,2020-03-23,-30.0,75-100%
USA/CA-ALSR-0698-SAN/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0425/2020,2020-03-25,-44.0,50-75%
USA/CA-CSMC135/2020,2020-03-25,-43.0,50-75%
USA/CA-CZB-1228/2020,2020-03-16,-8.0,75-100%
USA/CA-CSMC71/2020,2020-04-02,-43.0,50-75%
USA/CA-CZB043/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB-1513/2020,2020-04-12,-57.0,0-25%
USA/CA-CZB-1280/2020,2020-03-30,-47.0,50-75%
USA/CA-CZB-1281/2020,2020-03-31,-43.0,50-75%
USA/CA-CZB-1508/2020,2020-03-31,-43.0,50-75%
USA/CA-CSMC134/2020,2020-03-29,-51.0,25-50%
USA/CA-SCCPHD-UC124/2020,2020-03-04,-1.0,75-100%
USA/CA-CSMC91/2020,2020-03-26,-43.0,50-75%
USA/CA-CZB-1555/2020,2020-03-17,-17.0,75-100%
USA/CA-CZB-1575/2020,2020-03-10,7.0,75-100%
USA/CA-CSMC13/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-1762/2020,2020-03-15,-31.0,75-100%
USA/CA-CDPH-UC20/2020,2020-03-03,8.0,75-100%
USA/CA-CZB0721/2020,2020-03-30,-67.0,0-25%
USA/CA-SR0247/2020,2020-03-26,-45.0,50-75%
USA/CA-CSMC51/2020,2020-04-05,-53.0,25-50%
USA/CA-CSMC20/2020,2020-03-24,-43.0,50-75%
USA/CA-CSMC42/2020,2020-03-31,-42.0,75-100%
USA/CA-CDPH018/2020,2020-02-26,5.0,75-100%
USA/CA-CZB-1716/2020,2020-04-02,-39.0,75-100%
USA/CA-CDPH009/2020,2020-03-26,-49.0,25-50%
USA/CA-CZB-1334/2020,2020-03-31,-48.0,25-50%
USA/CA-CZB-1330/2020,2020-04-01,-48.0,25-50%
USA/CA-CZB0151/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB011b/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB076/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0154/2020,2020-04-07,-70.0,0-25%
USA/CA-SR0443/2020,2020-03-11,2.0,75-100%
USA/CA-SR0436/2020,2020-03-11,2.0,75-100%
USA/CA-CDPH008/2020,2020-03-25,-41.0,75-100%
USA/CA-CZB-1145/2020,2020-04-06,-39.0,75-100%
USA/CA-CZB045/2020,2020-03-24,-70.0,0-25%
USA/CA-SCCPHD-UC152/2020,2020-03-10,-3.0,75-100%
USA/CA-SCCPHD-UC140/2020,2020-03-09,-3.0,75-100%
USA/CA-SCCPHD-UC161/2020,2020-03-11,-4.0,75-100%
USA/CA-ALSR-1499/2020,2020-03-13,-4.0,75-100%
USA/CA-SR0311/2020,2020-03-16,-11.0,75-100%
USA/CA-CZB-1576/2020,2020-03-12,9.0,75-100%
USA/CA-CZB-1584/2020,2020-03-21,-41.0,75-100%
USA/CA-CZB-1353/2020,2020-04-10,-53.0,25-50%
USA/CA-CZB-1360/2020,2020-04-11,-59.0,0-25%
USA/CA-CZB-1620/2020,2020-04-20,-43.0,50-75%
USA/CA-CZB-1586/2020,2020-03-22,-41.0,75-100%
USA/CA-CZB-1603/2020,2020-04-02,-28.0,75-100%
USA/CA-CZB-1391/2020,2020-04-17,-65.0,0-25%
USA/CA-CZB-1619/2020,2020-04-19,-48.0,25-50%
USA/CA-CZB-1616/2020,2020-04-15,-32.0,75-100%
USA/CA-CZB-1594/2020,2020-03-27,-36.0,75-100%
USA/CA-CZB-1601/2020,2020-04-01,-27.0,75-100%
USA/CA-CZB-1605/2020,2020-04-03,-32.0,75-100%
USA/CA-CZB-1608/2020,2020-04-05,-49.0,25-50%
USA/CA-CZB-1578/2020,2020-03-17,-10.0,75-100%
USA/CA-CZB-1604/2020,2020-04-02,-28.0,75-100%
USA/CA-CZB-1585/2020,2020-03-21,-41.0,75-100%
USA/CA-CZB-1581/2020,2020-03-20,-30.0,75-100%
USA/CA-CZB-1615/2020,2020-04-13,-33.0,75-100%
USA/CA-CZB-1582/2020,2020-03-20,-30.0,75-100%
USA/CA-CZB-1577/2020,2020-03-13,4.0,75-100%
USA/CA-CZB-2094/2020,2020-04-25,-46.0,50-75%
USA/CA-CZB-2093/2020,2020-04-25,-46.0,50-75%
USA/CA-CZB-2095/2020,2020-04-25,-46.0,50-75%
USA/CA-CZB-1355/2020,2020-04-10,-53.0,25-50%
USA/CA-CZB-1632/2020,2020-03-27,-36.0,75-100%
USA/CA-CZB-1617/2020,2020-04-16,-42.0,75-100%
USA/CA-CZB-1614/2020,2020-04-13,-33.0,75-100%
USA/CA-CZB-1352/2020,2020-04-10,-53.0,25-50%
USA/CA-CZB-1607/2020,2020-04-05,-49.0,25-50%
USA/CA-CZB-1611/2020,2020-04-08,-34.0,75-100%
USA/CA-CZB-2047/2020,2020-04-11,-37.0,75-100%
USA/CA-CZB-2045/2020,2020-04-10,-36.0,75-100%
USA/CA-CZB-1356/2020,2020-04-11,-59.0,0-25%
USA/CA-CZB-1766/2020,2020-03-12,-4.0,75-100%
USA/CA-ALSR-0479-SAN/2020,2020-04-09,-50.0,25-50%
USA/CA-ALSR-0772-SAN/2020,2020-04-09,-50.0,25-50%
USA/CA-SR0106/2020,2020-03-13,-4.0,75-100%
USA/CA-SR0097/2020,2020-03-12,-3.0,75-100%
USA/CA-SR0107/2020,2020-03-12,-3.0,75-100%
USA/CA-CZB-1751/2020,2020-03-24,-53.0,25-50%
USA/CA-UCSF-UC42/2020,2020-03-13,-26.0,75-100%
USA/CA-SR0100/2020,2020-03-13,-4.0,75-100%
USA/CA-CZB-1278/2020,2020-03-26,-43.0,50-75%
USA/CA-CZB-1497/2020,2020-03-26,-43.0,50-75%
USA/CA-SR0421/2020,2020-03-09,3.0,75-100%
USA/CA-SR0428/2020,2020-03-09,3.0,75-100%
USA/CA-SR0455/2020,2020-03-15,-15.0,75-100%
USA/CA-SR0416/2020,2020-03-09,3.0,75-100%
USA/CA-SR0103/2020,2020-03-15,-15.0,75-100%
USA/CA-SR0445/2020,2020-03-20,-41.0,75-100%
USA/CA-CZB-1111/2020,2020-04-29,-75.0,0-25%
USA/CA-CSMC34/2020,2020-04-02,-43.0,50-75%
USA/CA-CZB04/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB-1599/2020,2020-03-30,-31.0,75-100%
USA/CA-ALSR-0503-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0614-SAN/2020,2020-04-03,-44.0,50-75%
USA/CA-ALSR-0798-SAN/2020,2020-04-03,-44.0,50-75%
USA/CA-CZB-1126/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-1122/2020,2020-03-26,-70.0,0-25%
USA/CA-SR0415/2020,2020-03-07,1.0,75-100%
USA/CA-SR0460/2020,2020-03-07,1.0,75-100%
USA/CA-CZB0108/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB096/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0700/2020,2020-03-22,-72.0,0-25%
USA/CA-CZB0725/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-2472/2020,2020-03-29,-75.0,0-25%
USA/CA-CZB-2474/2020,2020-04-21,-74.0,0-25%
USA/CA-CZB082/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0746/2020,2020-04-02,-70.0,0-25%
USA/CA-CZB0141/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB0114/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0701/2020,2020-03-22,-72.0,0-25%
USA/CA-CZB078/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0109/2020,2020-03-27,-72.0,0-25%
USA/CA-SR0449/2020,2020-03-09,3.0,75-100%
USA/CA-CZB-1602/2020,2020-03-31,-28.0,75-100%
USA/CA-CZB-1100/2020,2020-04-27,-73.0,0-25%
USA/CA-CZB-1124/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB-1125/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-1764/2020,2020-03-13,-9.0,75-100%
USA/CA-CZB-1430/2020,2020-03-22,-61.0,0-25%
USA/CA-SR0224/2020,2020-04-01,-42.0,75-100%
USA/CA-CZB-2445/2020,2020-05-26,-40.0,75-100%
USA/CA-CZB-2505/2020,2020-05-08,-49.0,25-50%
USA/CA-CDPH-UC19/2020,2020-03-03,6.0,75-100%
USA/CA-CZB-1208/2020,2020-03-20,-52.0,25-50%
USA/CA-CZB0110/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-2476/2020,2020-04-13,-70.0,0-25%
USA/CA-CZB-2487/2020,2020-04-14,-71.0,0-25%
USA/CA-CZB-2484/2020,2020-04-14,-71.0,0-25%
USA/CA-CZB091/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-2451/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-1107/2020,2020-04-29,-75.0,0-25%
USA/CA-CZB-1153/2020,2020-04-25,-77.0,0-25%
USA/CA-CZB-2447/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-1157/2020,2020-04-25,-77.0,0-25%
USA/CA-CDPH-UC28/2020,2020-03-13,-26.0,75-100%
USA/CA-ALSR-0835-SAN/2020,2020-03-13,-4.0,75-100%
USA/CA-CZB-1224/2020,2020-03-19,-48.0,25-50%
USA/CA-CZB0726/2020,2020-03-30,-67.0,0-25%
USA/CA-CZB-1168/2020,2020-04-26,-77.0,0-25%
USA/CA-CZB-1096/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB027/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB040/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB079/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB090/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0103/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0112/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0101/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB0125/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB0158/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB036/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB015b/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB039/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB-1675/2020,2020-03-29,-48.0,25-50%
USA/CA-CZB-1104/2020,2020-04-27,-73.0,0-25%
USA/CA-CZB-1114/2020,2020-04-29,-75.0,0-25%
USA/CA-ALSR-0482-SAN/2020,2020-03-31,-43.0,50-75%
USA/CA-CZB0737/2020,2020-03-30,-67.0,0-25%
USA/CA-SR0404/2020,2020-04-06,-49.0,25-50%
USA/CA-CZB0133/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB-1097/2020,2020-04-25,-77.0,0-25%
USA/CA-CZB-1164/2020,2020-04-26,-77.0,0-25%
USA/CA-CZB-1093/2020,2020-04-26,-77.0,0-25%
USA/CA-CSMC10/2020,2020-03-26,-43.0,50-75%
USA/CA-CSMC56/2020,2020-03-31,-42.0,75-100%
USA/CA-SR0199/2020,2020-03-14,-13.0,75-100%
USA/CA-ALSR-1384/2020,2020-03-14,-13.0,75-100%
USA/CA-CSMC95/2020,2020-04-01,-41.0,75-100%
USA/CA-SR0118/2020,2020-03-11,2.0,75-100%
USA/CA-CSMC120/2020,2020-04-04,-50.0,25-50%
USA/CA-ALSR-0979-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-SCCPHD-UC184/2020,2020-03-15,-31.0,75-100%
USA/CA-SR0450/2020,2020-03-11,2.0,75-100%
USA/CA-SR0454/2020,2020-03-11,2.0,75-100%
USA/CA-CZB-1231/2020,2020-03-16,-8.0,75-100%
USA/CA-SR0204/2020,2020-03-13,-4.0,75-100%
USA/CA-ALSR-1385/2020,2020-03-13,-4.0,75-100%
USA/CA-CZB0145/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB-1270/2020,2020-03-18,-46.0,50-75%
USA/CA-ALSR-1462/2020,2020-03-19,-31.0,75-100%
USA/CA-CZB-1768/2020,2020-03-10,-3.0,75-100%
USA/CA-CZB-1211/2020,2020-03-23,-52.0,25-50%
USA/CA-CZB-1767/2020,2020-03-12,-4.0,75-100%
USA/CA-CZB-1199/2020,2020-03-27,-56.0,0-25%
USA/CA-SR0195/2020,2020-03-27,-45.0,50-75%
USA/CA-UCSF-UC41/2020,2020-03-13,-26.0,75-100%
USA/CA-CZB05/2020,2020-03-17,-64.0,0-25%
USA/CA-CZB-1679/2020,2020-03-29,-48.0,25-50%
USA/CA-CZB-1326/2020,2020-03-21,-58.0,0-25%
USA/CA-CZB-1400/2020,2020-04-18,-69.0,0-25%
USA/CA-CDPH-UC2/2020,2020-02-26,5.0,75-100%
USA/CA-CDPH017/2020,2020-02-26,5.0,75-100%
USA/CA-CDPH-UC3/2020,2020-02-26,5.0,75-100%
USA/CA9/2020,2020-02-22,3.0,75-100%
USA/CA-CDPH-UC4/2020,2020-02-26,5.0,75-100%
USA/CA-CDPH016/2020,2020-02-27,3.0,75-100%
USA/CA-CZB-1215/2020,2020-03-22,-62.0,0-25%
USA/CA-CZB016/2020,2020-03-24,-70.0,0-25%
USA/CA-UCSF-UC43/2020,2020-03-13,-26.0,75-100%
USA/CA-SCCPHD-UC102/2020,2020-02-27,4.0,75-100%
USA/CA-SCCPHD-UC112/2020,2020-03-01,1.0,75-100%
USA/CA-SCCPHD-UC108/2020,2020-02-28,2.0,75-100%
USA/CA-SCCPHD-UC101/2020,2020-02-25,2.0,75-100%
USA/CA-SCCPHD-UC110/2020,2020-03-01,1.0,75-100%
USA/CA-SCCPHD-UC116/2020,2020-03-03,6.0,75-100%
USA/CA-SCCPHD-UC105/2020,2020-02-28,2.0,75-100%
USA/CA-SCCPHD-UC121/2020,2020-03-04,-1.0,75-100%
USA/CA-SCCPHD-UC120/2020,2020-03-04,-1.0,75-100%
USA/CA-SCCPHD-UC155/2020,2020-03-09,-3.0,75-100%
USA/CA-CZB-1756/2020,2020-03-19,-48.0,25-50%
USA/CA-CZB-1272/2020,2020-03-23,-49.0,25-50%
USA/CA-SCCPHD-UC172/2020,2020-03-12,-4.0,75-100%
USA/CA-SCCPHD-UC169/2020,2020-03-12,-4.0,75-100%
USA/CA-SCCPHD-UC171/2020,2020-03-12,-4.0,75-100%
USA/CA-SCCPHD-UC174/2020,2020-03-12,-4.0,75-100%
USA/CA-SCCPHD-UC167/2020,2020-03-12,-4.0,75-100%
